pixels,t0,t1,t2
"(0, 0)",(255),(12.75),(12.75)
"(0, 1)",(255),(38.25),(38.25)
"(0, 2)",(255),(12.75),(12.75)
"(0, 3)",(255),(0.0),(0.0)
"(0, 4)",(255),(38.25),(12.75)
"(0, 5)",(255),(12.75),(12.75)
"(0, 6)",(255),(12.75),(12.75)
"(0, 7)",(255),(12.75),(12.75)
"(0, 8)",(255),(25.5),(0.0)
"(0, 9)",(255),(25.5),(38.25)
"(0, 10)",(255),(12.75),(12.75)
"(0, 11)",(255),(0.0),(0.0)
"(0, 12)",(255),(0.0),(0.0)
"(0, 13)",(255),(0.0),(0.0)
"(0, 14)",(255),(12.75),(12.75)
"(0, 15)",(255),(25.5),(0.0)
"(0, 16)",(255),(12.75),(12.75)
"(0, 17)",(255),(38.25),(38.25)
"(0, 18)",(255),(12.75),(0.0)
"(0, 19)",(255),(25.5),(25.5)
"(1, 0)",(255),(0.0),(0.0)
"(1, 1)",(255),(12.75),(12.75)
"(1, 2)",(255),(63.75),(25.5)
"(1, 3)",(255),(12.75),(38.25)
"(1, 4)",(255),(51.0),(76.5)
"(1, 5)",(255),(51.0),(38.25)
"(1, 6)",(255),(12.75),(0.0)
"(1, 7)",(255),(25.5),(12.75)
"(1, 8)",(255),(38.25),(38.25)
"(1, 9)",(255),(25.5),(25.5)
"(1, 10)",(255),(38.25),(12.75)
"(1, 11)",(255),(12.75),(38.25)
"(1, 12)",(255),(38.25),(25.5)
"(1, 13)",(255),(38.25),(25.5)
"(1, 14)",(255),(25.5),(0.0)
"(1, 15)",(255),(51.0),(38.25)
"(1, 16)",(255),(12.75),(51.0)
"(1, 17)",(255),(0.0),(12.75)
"(1, 18)",(255),(38.25),(25.5)
"(1, 19)",(255),(76.5),(63.75)
"(2, 0)",(255),(25.5),(12.75)
"(2, 1)",(255),(25.5),(25.5)
"(2, 2)",(255),(12.75),(25.5)
"(2, 3)",(255),(25.5),(0.0)
"(2, 4)",(255),(12.75),(38.25)
"(2, 5)",(255),(25.5),(12.75)
"(2, 6)",(255),(25.5),(38.25)
"(2, 7)",(255),(12.75),(12.75)
"(2, 8)",(255),(12.75),(25.5)
"(2, 9)",(255),(51.0),(25.5)
"(2, 10)",(255),(38.25),(38.25)
"(2, 11)",(255),(12.75),(0.0)
"(2, 12)",(255),(38.25),(38.25)
"(2, 13)",(255),(25.5),(51.0)
"(2, 14)",(255),(63.75),(38.25)
"(2, 15)",(255),(51.0),(51.0)
"(2, 16)",(255),(12.75),(25.5)
"(2, 17)",(255),(38.25),(38.25)
"(2, 18)",(255),(25.5),(25.5)
"(2, 19)",(255),(25.5),(51.0)
"(3, 0)",(255),(38.25),(38.25)
"(3, 1)",(255),(51.0),(38.25)
"(3, 2)",(255),(38.25),(38.25)
"(3, 3)",(255),(25.5),(12.75)
"(3, 4)",(255),(76.5),(38.25)
"(3, 5)",(255),(0.0),(0.0)
