Red,Green,Blue,Frequency,%
0,0,0,1131754,22.461
0,0,18,43,0.000
0,18,0,21831,0.433
0,18,18,3759,0.075
0,18,40,121362,2.409
0,18,62,34525,0.685
216,238,194,126,0.003
216,238,216,56,0.001
0,40,40,21820,0.433
0,40,62,201886,4.007
128,106,84,177,0.004
128,106,106,1597,0.032
128,106,128,17,0.000
128,128,84,93,0.002
128,128,106,88396,1.754
128,128,128,166694,3.308
128,128,150,190,0.004
128,150,106,99,0.002
128,150,128,26150,0.519
128,150,150,2814,0.056
40,18,0,18730,0.372
40,18,18,797,0.016
40,18,40,3,0.000
40,40,0,15031,0.298
40,40,18,36484,0.724
40,40,40,8490,0.168
40,40,62,63721,1.265
40,40,84,2,0.000
40,62,18,2,0.000
40,62,40,779,0.015
40,62,62,372145,7.386
40,62,84,128306,2.546
40,84,84,1636,0.032
40,84,106,15,0.000
238,216,172,75,0.001
238,216,194,1058,0.021
238,216,216,103,0.002
238,238,172,2,0.000
238,238,194,1916,0.038
238,238,216,2776,0.055
238,238,238,2710,0.054
238,255,216,46,0.000
238,255,238,49,0.000
150,128,84,2,0.000
150,128,106,1014,0.020
150,128,128,2889,0.057
150,128,150,8,0.000
150,150,106,556,0.011
150,150,128,114221,2.267
150,150,150,29206,0.580
150,150,172,31,0.000
150,172,128,794,0.016
150,172,150,5760,0.114
150,172,172,100,0.002
62,40,0,254,0.005
62,40,18,32562,0.646
62,40,40,756,0.015
62,62,18,1402,0.028
62,62,40,1361,0.027
62,62,62,166410,3.303
62,62,84,82753,1.642
62,84,62,22115,0.439
62,84,84,310727,6.167
62,84,106,8617,0.171
62,106,106,25,0.000
172,150,106,9,0.000
172,150,128,4532,0.090
172,150,150,2420,0.048
172,150,172,2,0.000
172,172,128,6461,0.128
172,172,150,62663,1.244
172,172,172,6658,0.132
172,172,194,12,0.000
172,194,150,406,0.008
172,194,172,1004,0.020
172,194,194,16,0.000
84,62,62,38,0.000
84,62,84,2,0.000
84,84,62,11899,0.236
84,84,84,279353,5.544
84,84,106,36117,0.717
84,106,62,8,0.000
84,106,84,56100,1.113
84,106,106,139043,2.759
84,106,128,86,0.002
194,172,128,40,0.000
194,172,150,5392,0.107
194,172,172,1975,0.039
194,194,128,2,0.000
194,194,150,8525,0.169
194,194,172,27431,0.544
194,194,194,1519,0.030
194,216,172,244,0.005
194,216,194,256,0.005
194,216,216,2,0.000
106,84,62,14,0.000
106,84,84,412,0.008
106,84,106,4,0.000
106,106,62,14,0.000
106,106,84,39402,0.782
106,106,106,259991,5.160
106,106,128,7256,0.144
106,128,84,42,0.000
106,128,106,71146,1.412
106,128,128,31367,0.623
106,128,150,1,0.000
18,0,0,1451,0.029
18,0,18,50,0.000
18,18,0,63272,1.256
18,18,18,19531,0.388
18,18,40,17502,0.347
18,18,62,421,0.008
18,40,18,122,0.002
18,40,40,107714,2.138
18,40,62,431421,8.562
18,40,84,399,0.008
18,62,40,1,0.000
18,62,62,32635,0.648
18,62,84,25158,0.499
255,238,194,7,0.000
255,238,216,91,0.002
255,238,238,9,0.000
255,255,216,60,0.001
255,255,238,31,0.000
216,194,150,64,0.001
216,194,172,2903,0.058
216,194,194,794,0.016
216,194,216,1,0.000
216,216,150,1,0.000
216,216,172,4446,0.088
216,216,194,8725,0.173
216,216,216,347,0.007
